Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2022-12-31,210.50,400.00,17.00,30.00,8,12
2023-01-01,13.47,400.00,2.00,30.00,1,12
2023-01-02,186.98,400.00,0.00,30.00,10,12
2023-01-03,0.00,400.00,0.00,30.00,0,12
2023-01-04,255.34,400.00,7.00,30.00,11,12
2023-01-05,158.44,400.00,11.00,30.00,5,12
2023-01-06,1.83,400.00,0.00,30.00,0,12
2023-01-07,0.00,400.00,0.00,30.00,0,12
2023-01-08,233.52,400.00,15.00,30.00,13,12
2023-01-09,348.89,400.00,26.00,30.00,12,12
2023-01-10,0.00,400.00,0.00,30.00,0,12
2023-01-13,0.00,400.00,0.00,30.00,0,12
2023-01-14,125.02,400.00,3.00,30.00,6,12
2023-01-15,87.44,400.00,14.00,30.00,6,12
2023-01-24,0.00,400.00,0.00,30.00,0,12
2023-01-25,105.27,400.00,16.00,30.00,2,12
2023-01-26,20.09,400.00,1.00,30.00,2,12
2023-01-27,174.56,400.00,5.00,30.00,6,12
2023-01-29,0.00,400.00,0.00,30.00,0,12
2023-01-30,337.06,400.00,49.00,30.00,10,12
2023-01-31,311.28,400.00,35.00,30.00,11,12
2023-02-01,197.30,400.00,13.00,30.00,10,12
2023-02-02,111.75,400.00,7.00,30.00,5,12
2023-02-05,0.00,400.00,0.00,30.00,0,12
2023-02-06,446.06,400.00,88.00,30.00,12,12
2023-02-07,401.39,400.00,70.00,30.00,10,12
2023-02-08,213.90,400.00,10.00,30.00,12,12
2023-02-11,0.15,400.00,0.00,30.00,0,12
2023-02-12,190.83,400.00,8.00,30.00,11,12
2023-02-13,45.74,400.00,2.00,30.00,2,12
2023-02-14,224.90,400.00,34.00,30.00,8,12
2023-02-15,161.09,400.00,6.00,30.00,4,12
2023-02-16,0.39,400.00,0.00,30.00,0,12
2023-02-18,0.00,400.00,0.00,30.00,0,12
2023-02-19,441.50,400.00,44.00,30.00,12,12
2023-02-20,348.62,400.00,48.00,30.00,11,12
2023-02-21,380.26,400.00,72.00,30.00,6,12
2023-02-22,1.56,400.00,1.00,30.00,0,12
2023-02-23,753.25,400.00,119.00,30.00,14,12
2023-02-24,397.82,400.00,34.00,30.00,9,12
2023-02-25,381.81,400.00,18.00,30.00,14,12
2023-02-26,447.15,400.00,76.00,30.00,8,12
2023-02-27,228.85,400.00,38.00,30.00,6,12
2023-03-05,0.00,400.00,0.00,30.00,0,12
2023-03-06,407.03,400.00,66.00,30.00,8,12
2023-03-07,509.91,400.00,89.00,30.00,8,12
2023-03-08,404.68,400.00,53.00,30.00,6,12
2023-03-09,520.87,400.00,62.00,30.00,9,12
2023-03-10,205.62,400.00,1.00,30.00,6,12
2023-03-11,1.37,400.00,0.00,30.00,0,12
2023-03-12,306.03,400.00,32.00,30.00,11,12
2023-03-13,353.12,400.00,48.00,30.00,6,12
2023-03-14,219.62,400.00,20.00,30.00,6,12
2023-03-15,371.80,400.00,36.00,30.00,9,12
2023-03-16,0.00,400.00,0.00,30.00,0,12
2023-03-17,109.01,400.00,11.00,30.00,3,12
2023-03-18,8.04,400.00,2.00,30.00,0,12
2023-03-19,648.71,400.00,84.00,30.00,8,12
2023-03-20,351.65,400.00,42.00,30.00,10,12
2023-03-21,475.87,400.00,68.00,30.00,9,12
2023-03-22,309.20,400.00,23.00,30.00,9,12
2023-03-23,257.55,400.00,27.00,30.00,9,12
2023-03-24,0.00,400.00,0.00,30.00,0,12
2023-03-25,179.62,400.00,18.00,30.00,3,12
2023-03-26,254.96,400.00,14.00,30.00,6,12
2023-03-27,657.97,400.00,137.00,30.00,8,12
2023-03-28,739.58,400.00,122.00,30.00,9,12
2023-03-29,679.95,400.00,99.00,30.00,8,12
2023-03-30,666.54,400.00,135.00,30.00,9,12
2023-03-31,298.38,400.00,93.00,30.00,3,12
2023-04-01,0.17,400.00,0.00,30.00,0,12
2023-04-02,179.30,400.00,10.00,30.00,6,12
2023-04-03,600.96,400.00,78.00,30.00,10,12
2023-04-04,297.74,400.00,12.00,30.00,11,12
2023-04-05,627.22,400.00,84.00,30.00,7,12
2023-04-06,439.86,400.00,54.00,30.00,11,12
2023-04-07,729.18,400.00,83.00,30.00,17,12
2023-04-08,506.48,400.00,67.00,30.00,15,12
2023-04-09,508.80,400.00,69.00,30.00,11,12
2023-04-10,665.73,400.00,105.00,30.00,7,12
2023-04-11,672.91,400.00,91.00,30.00,10,12
2023-04-12,878.86,400.00,124.00,30.00,12,12
2023-04-13,556.79,400.00,82.00,30.00,10,12
2023-04-14,423.98,400.00,56.00,30.00,3,12
2023-04-15,647.37,400.00,70.00,30.00,14,12
2023-04-16,738.13,400.00,94.00,30.00,6,12
2023-04-17,727.55,400.00,104.00,30.00,10,12
2023-04-18,899.62,400.00,131.00,30.00,14,12
2023-04-19,857.28,400.00,123.00,30.00,13,12
2023-04-20,941.97,400.00,160.00,30.00,12,12
2023-04-21,481.90,400.00,73.00,30.00,7,12
2023-04-22,504.41,400.00,63.00,30.00,6,12
2023-04-23,878.04,400.00,137.00,30.00,11,12
2023-04-24,895.90,400.00,153.00,30.00,9,12
2023-04-25,735.52,400.00,119.00,30.00,10,12
2023-04-26,426.32,400.00,69.00,30.00,8,12
2023-04-27,531.21,400.00,48.00,30.00,13,12
2023-04-28,583.47,400.00,59.00,30.00,9,12
2023-04-29,827.73,400.00,148.00,30.00,10,12
2023-04-30,607.26,400.00,64.00,30.00,12,12
2023-05-01,525.72,400.00,56.00,30.00,7,12
2023-05-02,417.63,400.00,57.00,30.00,3,12
2023-05-03,786.11,400.00,105.00,30.00,10,12
2023-05-04,717.68,400.00,129.00,30.00,8,12
2023-05-05,453.33,400.00,33.00,30.00,12,12
2023-05-06,429.19,400.00,67.00,30.00,6,12
2023-05-07,608.45,400.00,87.00,30.00,7,12
2023-05-08,462.77,400.00,48.00,30.00,5,12
2023-05-09,554.40,400.00,63.00,30.00,10,12
2023-05-10,402.16,400.00,33.00,30.00,14,12
2023-05-11,71.35,400.00,8.00,30.00,4,12
2023-05-12,82.71,400.00,2.00,30.00,6,12
2023-05-13,250.00,400.00,12.00,30.00,12,12
2023-05-14,299.21,400.00,26.00,30.00,7,12
2023-05-15,553.17,400.00,81.00,30.00,8,12
2023-05-16,536.51,400.00,56.00,30.00,9,12
2023-05-17,720.70,400.00,116.00,30.00,12,12
2023-05-18,658.87,400.00,85.00,30.00,15,12
2023-05-19,127.72,400.00,5.00,30.00,5,12
2023-05-20,429.55,400.00,41.00,30.00,7,12
2023-05-21,754.29,400.00,133.00,30.00,10,12
2023-05-22,667.10,400.00,101.00,30.00,12,12
2023-05-23,829.65,400.00,143.00,30.00,10,12
2023-05-24,722.25,400.00,105.00,30.00,11,12
2023-05-25,409.62,400.00,65.00,30.00,12,12
2023-05-26,465.53,400.00,18.00,30.00,12,12
2023-05-27,626.05,400.00,62.00,30.00,12,12
2023-05-28,675.09,400.00,90.00,30.00,10,12
2023-05-29,721.96,400.00,102.00,30.00,11,12
2023-05-30,706.99,400.00,99.00,30.00,11,12
2023-05-31,883.19,400.00,142.00,30.00,13,12
2023-06-01,547.96,400.00,78.00,30.00,11,12
2023-06-02,0.72,400.00,0.00,30.00,0,12
2023-06-03,317.00,400.00,43.00,30.00,10,12
2023-06-04,670.67,400.00,94.00,30.00,9,12
2023-06-05,818.46,400.00,133.00,30.00,10,12
2023-06-06,338.63,400.00,67.00,30.00,7,12
2023-06-07,688.27,400.00,122.00,30.00,9,12
2023-06-08,319.16,400.00,58.00,30.00,6,12
2023-06-09,189.87,400.00,25.00,30.00,3,12
2023-06-10,278.77,400.00,15.00,30.00,13,12
2023-06-11,664.24,400.00,91.00,30.00,9,12
2023-06-12,761.82,400.00,95.00,30.00,14,12
2023-06-13,659.21,400.00,90.00,30.00,9,12
2023-06-14,337.11,400.00,40.00,30.00,11,12
2023-06-15,266.61,400.00,22.00,30.00,9,12
2023-06-16,52.92,400.00,2.00,30.00,3,12
2023-06-17,59.90,400.00,4.00,30.00,3,12
2023-06-18,658.55,400.00,87.00,30.00,12,12
2023-06-19,475.83,400.00,56.00,30.00,10,12
2023-06-20,433.33,400.00,68.00,30.00,9,12
2023-06-21,414.77,400.00,77.00,30.00,10,12
2023-06-22,256.29,400.00,5.00,30.00,8,12
2023-06-23,96.18,400.00,7.00,30.00,7,12
2023-06-24,357.08,400.00,51.00,30.00,8,12
2023-06-25,663.59,400.00,95.00,30.00,13,12
2023-06-26,752.48,400.00,109.00,30.00,12,12
2023-06-27,613.57,400.00,88.00,30.00,14,12
2023-06-28,465.47,400.00,78.00,30.00,9,12
2023-06-29,224.66,400.00,19.00,30.00,9,12
