Date,Move Actual,Move Goal,Exercise Actual,Exercise Goal,Stand Actual,Stand Goal
2023-12-31,209.57,400.00,11.00,30.00,10,12
2024-01-01,209.02,400.00,11.00,30.00,10,12
2024-01-02,183.55,400.00,11.00,30.00,9,12
2024-01-03,295.05,400.00,35.00,30.00,8,12
2024-01-04,238.59,400.00,13.00,30.00,9,12
2024-01-06,0.09,400.00,0.00,30.00,0,12
2024-01-07,232.68,400.00,16.00,30.00,8,12
2024-01-08,202.35,400.00,22.00,30.00,7,12
2024-01-09,239.15,400.00,16.00,30.00,12,12
2024-01-10,0.77,400.00,0.00,30.00,0,12
2024-01-11,413.96,400.00,60.00,30.00,11,12
2024-01-12,538.34,400.00,80.00,30.00,11,12
2024-01-13,4.45,400.00,0.00,30.00,1,12
2024-01-14,354.72,400.00,51.00,30.00,7,12
2024-01-15,255.30,400.00,16.00,30.00,10,12
2024-01-16,316.51,400.00,24.00,30.00,12,12
2024-01-17,27.19,400.00,1.00,30.00,2,12
2024-01-18,292.74,400.00,25.00,30.00,12,12
2024-01-19,15.47,400.00,2.00,30.00,0,12
2024-01-20,103.77,400.00,3.00,30.00,4,12
2024-01-21,327.66,400.00,32.00,30.00,13,12
2024-01-22,0.06,400.00,0.00,30.00,0,12
2024-01-23,450.94,400.00,73.00,30.00,12,12
2024-01-24,277.00,400.00,16.00,30.00,10,12
2024-01-25,204.40,400.00,13.00,30.00,10,12
2024-01-26,358.05,400.00,65.00,30.00,10,12
2024-01-27,248.21,400.00,13.00,30.00,7,12
2024-01-28,24.49,400.00,1.00,30.00,1,12
2024-01-29,102.45,400.00,12.00,30.00,5,12
2024-01-30,169.39,400.00,11.00,30.00,7,12
2024-01-31,351.04,400.00,46.00,30.00,14,12
2024-02-01,276.53,400.00,34.00,30.00,10,12
2024-02-04,0.00,400.00,0.00,30.00,0,12
2024-02-05,318.21,400.00,22.00,30.00,11,12
2024-02-06,140.18,400.00,6.00,30.00,6,12
2024-02-07,26.81,400.00,1.00,30.00,1,12
2024-02-08,255.16,400.00,7.00,30.00,12,12
2024-02-09,1.14,400.00,1.00,30.00,0,12
2024-02-10,33.62,400.00,2.00,30.00,2,12
2024-02-11,246.97,400.00,16.00,30.00,14,12
2024-02-12,232.12,400.00,22.00,30.00,6,12
2024-02-13,56.53,400.00,2.00,30.00,4,12
2024-02-14,260.80,400.00,19.00,30.00,8,12
2024-02-15,575.28,400.00,71.00,30.00,14,12
2024-02-16,85.18,400.00,3.00,30.00,6,12
2024-02-17,0.00,400.00,0.00,30.00,0,12
2024-02-18,271.52,400.00,21.00,30.00,12,12
2024-02-19,233.42,400.00,15.00,30.00,11,12
2024-02-20,230.66,400.00,13.00,30.00,8,12
2024-02-21,197.75,400.00,11.00,30.00,11,12
2024-02-22,156.47,400.00,7.00,30.00,10,12
2024-02-23,267.50,400.00,18.00,30.00,10,12
2024-02-24,134.35,400.00,8.00,30.00,6,12
2024-02-25,415.74,400.00,56.00,30.00,14,12
2024-02-26,472.30,400.00,78.00,30.00,11,12
2024-02-27,34.70,400.00,0.00,30.00,3,12
2024-02-28,305.24,400.00,22.00,30.00,11,12
2024-02-29,262.66,400.00,20.00,30.00,12,12
2024-03-01,230.98,400.00,22.00,30.00,9,12
2024-03-02,228.84,400.00,8.00,30.00,8,12
2024-03-03,15.34,400.00,0.00,30.00,1,12
2024-03-04,233.02,400.00,18.00,30.00,11,12
2024-03-05,435.50,400.00,78.00,30.00,11,12
2024-03-06,260.95,400.00,30.00,30.00,10,12
2024-03-07,529.06,400.00,54.00,30.00,14,12
2024-03-08,672.18,400.00,110.00,30.00,14,12
2024-03-09,348.68,400.00,14.00,30.00,11,12
2024-03-10,440.57,400.00,76.00,30.00,11,12
2024-03-11,269.85,400.00,23.00,30.00,9,12
2024-03-12,245.05,400.00,28.00,30.00,8,12
2024-03-13,305.78,400.00,35.00,30.00,11,12
2024-03-14,239.64,400.00,22.00,30.00,12,12
2024-03-15,212.67,400.00,19.00,30.00,6,12
2024-03-16,363.49,400.00,39.00,30.00,11,12
2024-03-17,256.98,400.00,15.00,30.00,10,12
2024-03-18,405.25,400.00,69.00,30.00,12,12
2024-03-19,483.43,400.00,87.00,30.00,12,12
2024-03-20,440.71,400.00,74.00,30.00,10,12
2024-03-21,233.40,400.00,17.00,30.00,9,12
2024-03-23,2.02,400.00,1.00,30.00,0,12
2024-03-24,182.20,400.00,15.00,30.00,10,12
2024-03-25,229.79,400.00,18.00,30.00,12,12
2024-03-26,7.39,400.00,0.00,30.00,1,12
2024-03-27,0.00,400.00,0.00,30.00,0,12
2024-03-28,233.25,400.00,24.00,30.00,10,12
2024-03-29,0.00,400.00,0.00,30.00,0,12
2024-03-30,337.00,400.00,56.00,30.00,6,12
2024-03-31,242.77,400.00,23.00,30.00,8,12
2024-04-01,0.49,400.00,0.00,30.00,0,12
2024-04-02,290.66,400.00,33.00,30.00,11,12
2024-04-03,156.09,400.00,6.00,30.00,11,12
2024-04-04,4.40,400.00,1.00,30.00,1,12
2024-04-05,197.91,400.00,53.00,30.00,2,12
2024-04-06,120.04,400.00,16.00,30.00,4,12
2024-04-07,479.31,400.00,71.00,30.00,11,12
2024-04-08,184.47,400.00,15.00,30.00,7,12
2024-04-09,284.47,400.00,21.00,30.00,10,12
2024-04-10,589.55,400.00,56.00,30.00,12,12
2024-04-11,190.84,400.00,14.00,30.00,8,12
2024-04-12,274.74,400.00,35.00,30.00,7,12
2024-04-13,235.83,400.00,15.00,30.00,9,12
2024-04-14,0.00,400.00,0.00,30.00,0,12
2024-04-15,350.25,400.00,62.00,30.00,6,12
2024-04-16,454.81,400.00,65.00,30.00,14,12
2024-04-17,367.81,400.00,45.00,30.00,8,12
2024-04-18,177.80,400.00,11.00,30.00,10,12
2024-04-20,1.54,400.00,0.00,30.00,1,12
2024-04-21,431.98,400.00,58.00,30.00,11,12
2024-04-22,14.89,400.00,0.00,30.00,0,12
2024-04-23,149.41,400.00,10.00,30.00,8,12
2024-04-24,245.44,400.00,13.00,30.00,10,12
2024-04-25,141.19,400.00,7.00,30.00,10,12
2024-04-26,9.69,400.00,0.00,30.00,1,12
2024-04-27,23.52,400.00,1.00,30.00,1,12
2024-04-28,214.52,400.00,12.00,30.00,11,12
2024-04-29,8.00,400.00,0.00,30.00,0,12
2024-05-03,0.00,400.00,0.00,30.00,0,12
2024-05-04,93.49,400.00,4.00,30.00,4,12
2024-05-05,391.56,400.00,56.00,30.00,11,12
2024-05-06,449.25,400.00,71.00,30.00,14,12
2024-05-07,289.56,400.00,29.00,30.00,11,12
2024-05-08,402.07,400.00,65.00,30.00,10,12
2024-05-09,200.74,400.00,12.00,30.00,7,12
2024-05-10,277.52,400.00,27.00,30.00,10,12
2024-05-11,5.08,400.00,1.00,30.00,1,12
2024-05-12,377.59,400.00,59.00,30.00,9,12
2024-05-13,545.17,400.00,76.00,30.00,12,12
2024-05-14,355.97,400.00,52.00,30.00,10,12
2024-05-15,0.26,400.00,0.00,30.00,0,12
2024-05-16,384.36,400.00,57.00,30.00,10,12
2024-05-17,0.00,400.00,0.00,30.00,0,12
2024-05-18,864.89,400.00,193.00,30.00,12,12
2024-05-19,362.68,400.00,61.00,30.00,9,12
2024-05-20,300.96,400.00,33.00,30.00,8,12
2024-05-21,242.11,400.00,9.00,30.00,11,12
2024-05-22,197.93,400.00,7.00,30.00,11,12
2024-05-23,452.11,400.00,63.00,30.00,12,12
2024-05-24,39.05,400.00,1.00,30.00,3,12
2024-05-25,0.00,400.00,0.00,30.00,0,12
2024-05-26,168.81,400.00,13.00,30.00,8,12
2024-05-27,423.14,400.00,66.00,30.00,10,12
2024-05-28,191.59,400.00,7.00,30.00,6,12
2024-05-29,186.59,400.00,8.00,30.00,8,12
2024-05-30,200.28,400.00,7.00,30.00,10,12
2024-05-31,89.67,400.00,4.00,30.00,7,12
2024-06-01,199.26,400.00,26.00,30.00,2,12
2024-06-02,390.36,400.00,46.00,30.00,9,12
2024-06-03,257.01,400.00,22.00,30.00,10,12
2024-06-04,155.00,400.00,7.00,30.00,7,12
2024-06-05,58.16,400.00,10.00,30.00,4,12
2024-06-06,131.70,400.00,3.00,30.00,8,12
2024-06-07,20.86,400.00,3.00,30.00,2,12
2024-06-08,142.05,400.00,7.00,30.00,11,12
2024-06-09,35.52,400.00,1.00,30.00,0,12
2024-06-10,384.67,400.00,52.00,30.00,8,12
2024-06-11,334.44,400.00,51.00,30.00,8,12
2024-06-12,205.72,400.00,16.00,30.00,6,12
2024-06-13,358.17,400.00,46.00,30.00,10,12
2024-06-14,128.44,400.00,3.00,30.00,5,12
2024-06-15,44.59,400.00,9.00,30.00,1,12
2024-06-16,604.12,400.00,68.00,30.00,13,12
2024-06-17,644.34,400.00,67.00,30.00,11,12
2024-06-18,239.47,400.00,10.00,30.00,11,12
2024-06-19,291.01,400.00,22.00,30.00,9,12
2024-06-20,101.32,400.00,18.00,30.00,5,12
2024-06-22,2.71,400.00,2.00,30.00,0,12
2024-06-23,193.59,400.00,21.00,30.00,5,12
2024-06-24,249.26,400.00,56.00,30.00,6,12
2024-06-25,129.50,400.00,17.00,30.00,7,12
2024-06-26,141.49,400.00,6.00,30.00,8,12
2024-06-27,252.73,400.00,26.00,30.00,10,12
2024-06-28,2.99,400.00,2.00,30.00,0,12
2024-06-29,0.20,400.00,0.00,30.00,0,12
2024-06-30,159.32,400.00,5.00,30.00,8,12
2024-07-01,3.59,400.00,3.00,30.00,0,12
2024-07-02,130.42,400.00,6.00,30.00,6,12
2024-07-03,0.00,400.00,0.00,30.00,0,12
2024-07-04,352.41,400.00,55.00,30.00,9,12
2024-07-05,18.76,400.00,0.00,30.00,1,12
2024-07-07,0.00,400.00,0.00,30.00,0,12
2024-07-08,162.54,400.00,2.00,30.00,8,12
2024-07-09,229.13,400.00,5.00,30.00,10,12
2024-07-10,405.47,400.00,59.00,30.00,8,12
2024-07-11,398.35,400.00,57.00,30.00,10,12
2024-07-12,29.21,400.00,1.00,30.00,1,12
2024-07-13,203.32,400.00,41.00,30.00,10,12
2024-07-14,475.26,400.00,71.00,30.00,10,12
2024-07-15,391.26,400.00,67.00,30.00,9,12
