UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
039c5151-1e63-4d4b-93a1-33a1e5cffdb8,2022-03-09T10:45:07Z,2022-03-09T12:17:07Z,37,Running,5520.000,966.18,0,0,0,62.00
1cbc7b6c-b4ce-4384-a718-6c34c83d7eef,2022-04-08T11:08:24Z,2022-04-08T11:13:31Z,37,Running,307.000,681.40,0,0,0,43.00
45d05a82-0614-4a00-b1f2-40ad597f2f7b,2022-08-29T04:21:04Z,2022-08-29T04:33:19Z,37,Running,735.000,1155.09,0,0,0,74.00
a4e37a15-9261-485b-934e-856eba7c3dc8,2022-08-30T04:18:38Z,2022-08-30T04:26:32Z,37,Running,474.000,1250.54,0,0,0,79.00
590b5c5c-431b-4635-a292-fdbf5b59cd5b,2022-08-31T04:14:06Z,2022-08-31T04:21:51Z,37,Running,465.000,1261.43,0,0,0,81.00
d85ddeba-2899-41ba-89ce-1fe7a36ac190,2022-09-01T04:27:13Z,2022-09-01T04:35:18Z,37,Running,485.000,1310.92,0,0,0,83.00
dd0f67c8-023d-4e6b-8b36-15e6247683bd,2022-09-02T10:29:42Z,2022-09-02T10:37:13Z,37,Running,451.000,1286.25,0,0,0,82.00
5bba473b-fdc1-4fef-b9d5-0e7fea5485f1,2022-09-04T13:42:19Z,2022-09-04T13:50:19Z,37,Running,480.000,1345.96,0,0,0,61.00
b6626175-70d1-410e-9d3e-763f22482e9c,2022-09-06T10:34:42Z,2022-09-06T10:42:56Z,37,Running,494.000,1397.66,0,0,0,55.00
f89ed343-33bd-40dd-b934-5fed6e3cbe25,2022-09-08T10:39:48Z,2022-09-08T10:48:07Z,37,Running,499.000,1416.96,0,0,0,94.00
c579ea92-a954-4583-9478-9e02299f2eb2,2022-09-13T10:58:07Z,2022-09-13T11:06:38Z,37,Running,511.000,1433.35,0,0,0,94.00
e03d4361-1037-4032-9a0f-a046dd662d1e,2022-09-19T10:35:14Z,2022-09-19T10:43:35Z,37,Running,501.000,1471.31,0,0,0,97.00
5a3e9c9c-2152-4aeb-8d8c-e4243ac2c972,2022-09-20T10:31:54Z,2022-09-20T10:40:39Z,37,Running,525.000,1521.00,0,0,0,100.00
3495ada1-c635-4232-9157-7071c9ebd893,2022-09-21T10:46:48Z,2022-09-21T11:05:08Z,52,Walking,1100.000,1221.91,0,0,0,60.42
085f0f1b-55fb-40f5-b766-80ce66d3960c,2022-09-22T10:43:12Z,2022-09-22T10:52:34Z,37,Running,562.000,1564.76,0,0,0,104.00
45dd6a82-3d50-4fb6-ac6b-d8948d0ae883,2022-09-25T04:58:48Z,2022-09-25T05:21:36Z,52,Walking,1368.000,1083.17,0,0,0,60.22
ef02ea89-ab47-475f-9d25-7666e95f0a84,2022-09-25T09:30:01Z,2022-09-25T09:54:53Z,52,Walking,1492.000,1082.60,0,0,0,62.29
7bd2f111-7007-4afb-8a40-0f1be05edc4c,2022-09-26T04:17:43Z,2022-09-26T04:33:28Z,52,Walking,945.000,923.02,0,0,0,47.56
e8a4b709-deb8-4dd5-9c01-ffc59cef3b4a,2022-09-26T04:18:21Z,2022-09-26T04:33:34Z,52,Walking,913.916,1054.26,0,0,0,40.49
c0d2e6b2-3b4e-4b83-bf71-d5c40f5523da,2022-09-26T10:26:37Z,2022-09-26T10:36:12Z,37,Running,574.923,1533.44,0,0,0,79.85
e4486e3f-936b-465c-95ff-16c15826f25d,2022-09-26T10:23:58Z,2022-09-26T10:51:21Z,52,Walking,1643.000,2584.23,0,0,0,116.23
a8344d38-f02b-4d32-823f-07a653a91dfd,2022-09-27T04:20:41Z,2022-09-27T04:37:02Z,52,Walking,981.261,1197.12,7.19,0,0,52.91
1c9d50da-9738-42fd-bd18-78ff43ee5c47,2022-09-27T04:20:53Z,2022-09-27T04:38:27Z,52,Walking,1054.000,904.95,0,0,0,48.80
5e59ae2d-b9cc-4f84-bfd9-84fa8ba76bbe,2022-09-27T23:52:44Z,2022-09-28T00:03:51Z,52,Walking,667.000,803.29,0,0,0,38.77
64162ed9-8496-4cd1-9318-54bcdc0490dc,2022-09-30T10:56:19Z,2022-09-30T11:06:32Z,52,Walking,612.902,892.01,0,0,0,36.02
f8e94492-2703-4f9e-9148-c3934905952a,2022-09-30T10:56:09Z,2022-09-30T11:10:25Z,52,Walking,856.000,856.07,0,0,0,43.77
8088655c-e496-4420-947f-4a590f33e09e,2022-10-02T08:54:31Z,2022-10-02T09:31:30Z,4,Badminton,2219.187,1152.19,0,0,0,160.64
6cf19cfd-93fd-4ddc-9f6f-436b369290e2,2022-10-03T10:26:33Z,2022-10-03T10:29:39Z,52,Walking,185.738,285.03,0,0,0,12.43
55206731-8c8f-48a6-8e28-1c44e09fc72e,2022-10-03T10:42:30Z,2022-10-03T10:46:45Z,13,Cycling,255.258,642.74,0,0,0,7.34
bfa16772-632c-472a-bddd-10f7f5fc8578,2022-10-03T13:36:24Z,2022-10-03T13:46:32Z,20,Functional Strength Training,607.572,0.00,0,0,0,18.47
f1e969cc-e0c7-4bdd-871b-fb346504fb1b,2022-10-06T09:04:30Z,2022-10-06T09:23:28Z,52,Walking,1138.709,1220.38,2.50,0,0,51.39
c3dd93a3-2fde-42c5-a421-67c32528f186,2022-10-07T09:22:32Z,2022-10-07T09:50:49Z,52,Walking,1697.537,2073.43,0,0,0,89.81
0d7e1104-42da-4747-98ea-2d65cbf274e7,2022-10-10T10:40:21Z,2022-10-10T10:57:57Z,52,Walking,1055.239,1199.61,9.78,0,0,55.83
fc8c35a5-ccb7-4111-ac5a-7e33b6b9fcfc,2022-10-12T04:34:02Z,2022-10-12T04:50:29Z,52,Walking,986.544,1113.68,0,0,0,41.98
31e52623-1281-48b9-a273-b943658c4ed3,2022-10-12T11:56:40Z,2022-10-12T12:14:30Z,52,Walking,1070.411,1034.72,0,0,0,40.92
3f8515d3-a2ce-4c38-9de2-4095329ecfb4,2022-10-15T10:59:04Z,2022-10-15T11:18:42Z,52,Walking,1178.000,932.52,0,0,0,51.83
