UUID,Start Date,End Date,Type,Name,Duration,Distance,Elevation Ascended,Flights Climbed,Swim Strokes,Total Energy
7d0ff42a-870d-4a49-aa3b-1a2a3d5fb2de,2026-01-01T10:38:47Z,2026-01-01T12:48:34Z,16,Elliptical,5535.603,0.00,0,0,0,492.04
917fe308-c630-4b15-a297-fa80e7213aa3,2026-01-03T11:37:02Z,2026-01-03T12:45:56Z,16,Elliptical,4134.190,0.00,0,0,0,415.15
149467da-44ca-4dc1-98f1-5b47ed493780,2026-01-10T14:05:30Z,2026-01-10T14:50:03Z,16,Elliptical,2010.133,0.00,0,0,0,184.73
dd70d80b-eb7b-415a-a486-b4475b82ec4a,2026-01-11T02:31:19Z,2026-01-11T02:49:57Z,16,Elliptical,1118.094,0.00,0,0,0,52.47
f606dc80-2249-4418-aee0-12bd8672350d,2026-01-11T03:11:57Z,2026-01-11T06:53:24Z,16,Elliptical,57.020,0.00,0,0,0,2.60
da6b487f-2982-4d34-9454-d9f56c94fc34,2026-01-12T04:14:20Z,2026-01-12T05:03:37Z,52,Walking,2956.924,2966.45,122.36,0,0,120.47
6ec19404-117d-49ff-99e3-28c70f726c4c,2026-01-12T09:39:23Z,2026-01-12T10:59:26Z,52,Walking,4803.123,3623.03,205.56,0,0,110.75
044720b1-3eb1-464e-850f-7c9bfb150a9f,2026-01-12T15:03:57Z,2026-01-12T16:01:20Z,16,Elliptical,2223.131,0.00,0,0,0,166.93
6ed302e9-78d0-4db6-87dd-5108f0ce5292,2026-01-17T13:53:38Z,2026-01-17T14:12:18Z,16,Elliptical,956.196,0.00,0,0,0,82.95
7f1b968f-dcb9-475c-b304-bd198cc4d5c8,2026-01-19T13:22:51Z,2026-01-19T13:49:52Z,16,Elliptical,1621.685,0.00,0,0,0,49.99
efee52e4-0be0-46ca-a487-7097df081e55,2026-01-22T04:09:44Z,2026-01-22T05:01:18Z,52,Walking,3093.637,1798.03,0,0,0,76.71
9f703ca8-d056-47c3-9dc4-f3bb73120f42,2026-01-23T10:32:50Z,2026-01-23T11:05:17Z,52,Walking,1947.228,1976.83,0,0,0,82.70
10303369-efcc-4992-b81c-877dd5552be0,2026-01-23T13:59:11Z,2026-01-23T14:29:46Z,16,Elliptical,1152.889,0.00,0,0,0,79.74
daabd8d4-c6cc-4174-bdf3-a6efefebae3d,2026-01-26T10:08:01Z,2026-01-26T10:50:45Z,52,Walking,2563.476,2597.84,0,0,0,93.72
1ae17921-6172-4def-a6fb-5f5b7449bfb6,2026-01-27T10:07:15Z,2026-01-27T10:45:35Z,52,Walking,2299.923,2472.63,0,0,0,99.14
cf88b052-84cc-430e-a2c2-1861de85f1d5,2026-01-28T11:00:18Z,2026-01-28T11:38:45Z,52,Walking,2307.280,2046.69,0,0,0,102.80
f23111e4-931a-41ea-8fc1-29c758f6a195,2026-01-29T09:37:30Z,2026-01-29T10:50:02Z,52,Walking,4352.278,4143.20,0,0,0,109.43
d9051330-a496-40b2-8bc9-b8bb21cfeeb6,2026-01-30T01:42:24Z,2026-01-30T02:04:41Z,16,Elliptical,1337.401,0.00,0,0,0,86.05
627d9ca3-082d-45fb-ac45-b23e4f12e703,2026-02-03T10:51:31Z,2026-02-03T11:38:22Z,52,Walking,2810.984,2653.34,25.05,0,0,122.23
f8742f9d-9acf-4681-afb2-2a27c1887650,2026-02-10T12:03:42Z,2026-02-10T13:26:56Z,52,Walking,2979.452,2696.18,11.59,0,0,109.25
ec3a158f-87a7-47c6-83e5-eb3684891c0b,2026-02-11T09:34:35Z,2026-02-11T09:52:39Z,52,Walking,1084.202,849.32,0,0,0,27.12
b81ee70a-4a84-4c32-bcf9-2e11bad00f6c,2026-02-14T04:04:05Z,2026-02-14T04:12:43Z,16,Elliptical,517.725,0.00,0,0,0,46.88
2860bb18-1476-4a49-ae69-300dfc14d5a4,2026-02-14T04:13:11Z,2026-02-14T04:20:52Z,16,Elliptical,461.031,0.00,0,0,0,41.92
ca793a03-c9bb-45d9-a8d3-83a2765846d8,2026-02-15T08:46:44Z,2026-02-15T09:27:53Z,52,Walking,2469.428,2532.32,50.76,0,0,80.54
4c07a155-9735-4d5c-9850-9419c4ab065b,2026-02-21T11:44:32Z,2026-02-21T12:24:29Z,16,Elliptical,2397.359,0.00,0,0,0,70.16
5fdb3121-a859-4351-b82b-58ffbfc4af0b,2026-02-23T15:28:44Z,2026-02-23T16:02:05Z,16,Elliptical,2000.899,0.00,0,0,0,148.95
ae443a61-911c-46ca-889b-3064e48d55f6,2026-02-24T15:46:40Z,2026-02-24T16:10:58Z,16,Elliptical,1457.734,0.00,0,0,0,103.72
ddc0328e-0dcf-40d9-abd5-24be40422838,2026-02-25T02:55:59Z,2026-02-25T03:33:14Z,52,Walking,2234.740,2393.97,9.01,0,0,98.76
d06e2f79-91e8-4408-a707-b77fd99b296a,2026-02-25T09:28:00Z,2026-02-25T09:50:58Z,16,Elliptical,593.170,0.00,0,0,0,51.51
f649a534-21db-45cb-b49b-fc56a4936f74,2026-02-25T14:26:38Z,2026-02-25T15:26:50Z,16,Elliptical,3611.551,0.00,0,0,0,281.44
34e79aec-fe8c-4400-b4c2-1a7fc38690c9,2026-02-26T09:52:23Z,2026-02-26T10:09:19Z,16,Elliptical,1016.253,0.00,0,0,0,69.50
d2b2630e-9b9d-4a6a-a412-845de379525c,2026-02-26T12:16:04Z,2026-02-26T12:41:45Z,16,Elliptical,1540.675,0.00,0,0,0,122.98
b97e6e10-60ca-42c5-a373-25add95b94e3,2026-02-27T13:55:13Z,2026-02-27T14:11:23Z,16,Elliptical,969.067,0.00,0,0,0,47.72
78f9b1dd-e071-462e-a07c-0f0b75e793c7,2026-03-01T11:51:34Z,2026-03-01T12:25:38Z,16,Elliptical,2044.334,0.00,0,0,0,124.33
5b3d72d3-3a2a-42cb-b040-30a9fa08a8e2,2026-03-01T12:53:19Z,2026-03-01T13:21:18Z,16,Elliptical,1678.883,0.00,0,0,0,160.51
2bb4d6ed-f5ca-4d62-9b70-e868e02442ff,2026-03-02T10:04:48Z,2026-03-02T10:49:06Z,52,Walking,2657.433,3122.27,15.51,0,0,90.68
8960036d-47d0-47e8-8313-b254ab5007e7,2026-03-02T14:11:47Z,2026-03-02T14:58:16Z,16,Elliptical,2355.903,0.00,0,0,0,265.58
555149a9-109f-4a8b-b16c-26e689cd714a,2026-03-04T12:22:39Z,2026-03-04T13:51:47Z,16,Elliptical,5348.160,0.00,0,0,0,378.51
f0a10c67-d699-4da2-8c73-14e73fcc3062,2026-03-07T06:18:27Z,2026-03-07T08:40:18Z,24,Hiking,8511.403,5923.17,354.43,0,0,465.70
0f50a194-3f9f-4851-b57e-026ca226f834,2026-03-08T08:06:21Z,2026-03-08T08:39:23Z,13,Cycling,1982.081,5490.17,30.06,0,0,67.33
a67fcb05-e70f-4ad7-a127-0302aecaf70f,2026-03-08T08:41:03Z,2026-03-08T09:34:28Z,52,Walking,3205.034,3027.13,19.21,0,0,161.94
20a2a804-432a-4a00-92bb-4d07a10c6cbb,2026-03-08T10:57:49Z,2026-03-08T12:17:15Z,52,Walking,4765.950,3484.35,19.53,0,0,152.28
eae2925a-7aed-418d-9ec8-e5734b9a20ff,2026-03-10T11:33:45Z,2026-03-10T12:18:35Z,16,Elliptical,2689.401,0.00,0,0,0,122.85
d871e41d-1b87-4da9-98b7-f050f3203052,2026-03-10T12:26:33Z,2026-03-10T12:30:28Z,16,Elliptical,235.177,0.00,0,0,0,20.81
ea5f2a49-863a-4f38-af5c-ebe96c095c33,2026-03-10T12:36:42Z,2026-03-10T12:50:56Z,16,Elliptical,853.641,0.00,0,0,0,38.51
37396954-e012-4446-ae79-1aa95ba399f1,2026-03-10T13:10:36Z,2026-03-10T13:20:33Z,16,Elliptical,596.491,0.00,0,0,0,47.05
83535770-7be3-4347-9e60-d50c523bafb5,2026-03-10T14:09:22Z,2026-03-10T14:19:06Z,16,Elliptical,583.116,0.00,0,0,0,43.01
64357cbe-d9cc-41eb-9b04-b31c9c0d5e41,2026-03-10T14:24:57Z,2026-03-10T14:38:41Z,16,Elliptical,823.607,0.00,0,0,0,60.06
0378a103-3854-45cb-aaf2-374a8f8029f9,2026-03-11T10:14:04Z,2026-03-11T11:47:30Z,52,Walking,5606.048,5077.39,50.93,0,0,251.91
a2f14a8b-208f-42e0-8880-49c249cf82f0,2026-03-12T09:55:32Z,2026-03-12T10:42:35Z,52,Walking,2822.294,3123.96,12.59,0,0,134.34
6a4a3f61-4e45-4937-b7a9-24c934a5b448,2026-03-12T14:16:49Z,2026-03-12T14:39:33Z,16,Elliptical,1363.273,0.00,0,0,0,89.51
b54eb6a0-9281-424e-9913-89d119714f6e,2026-03-12T15:17:27Z,2026-03-12T15:26:24Z,16,Elliptical,537.487,0.00,0,0,0,31.34
6b920fcf-d7ae-4e49-9408-02c5c6f8fa08,2026-03-16T12:18:09Z,2026-03-16T12:33:25Z,16,Elliptical,916.634,0.00,0,0,0,87.61
b1ab1609-eb06-4eb0-a2b6-d12748b80c21,2026-03-16T13:05:27Z,2026-03-16T13:28:55Z,16,Elliptical,1408.768,0.00,0,0,0,50.72
