Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2018-07-19,2799.76,4057.00,0.00,0.00,0.00,0.00,0.00
2018-07-20,1421.23,2037.00,0.00,0.00,0.00,0.00,0.00
2018-07-21,2281.39,3092.00,0.00,0.00,0.00,0.00,0.00
2018-07-22,2999.63,4093.00,0.00,0.00,0.00,0.00,0.00
2018-07-23,2108.26,2631.00,0.00,0.00,0.00,0.00,0.00
2018-07-24,4317.22,5748.00,0.00,0.00,0.00,0.00,0.00
2018-07-25,2233.21,3094.00,0.00,0.00,0.00,0.00,0.00
2018-07-26,2294.14,3237.00,0.00,0.00,0.00,0.00,0.00
2018-07-27,1443.13,2254.00,0.00,0.00,0.00,0.00,0.00
2018-07-28,2121.33,3153.00,0.00,0.00,0.00,0.00,0.00
2018-07-29,2910.62,4035.00,0.00,0.00,0.00,0.00,0.00
2018-07-30,1942.16,2584.00,0.00,0.00,0.00,0.00,0.00
2018-07-31,2641.39,3411.00,0.00,0.00,0.00,0.00,0.00
2018-08-01,4164.29,5687.00,0.00,0.00,0.00,0.00,0.00
2018-08-02,3364.36,4813.00,0.00,0.00,0.00,0.00,0.00
2018-08-03,2998.59,4176.00,0.00,0.00,0.00,0.00,0.00
2018-08-04,2.71,4.00,0.00,0.00,0.00,0.00,0.00
2018-08-05,3018.05,4232.00,0.00,0.00,0.00,0.00,0.00
2018-08-06,2803.17,3936.00,0.00,0.00,0.00,0.00,0.00
2018-08-07,3635.23,4927.00,0.00,0.00,0.00,0.00,0.00
2018-08-08,3414.49,4736.00,0.00,0.00,0.00,0.00,0.00
2018-08-09,3655.05,5243.00,0.00,0.00,0.00,0.00,0.00
2018-08-10,1903.99,2640.00,0.00,0.00,0.00,0.00,0.00
2018-08-11,1975.54,2725.00,0.00,0.00,0.00,0.00,0.00
2018-08-12,4518.83,6004.00,0.00,0.00,0.00,0.00,0.00
2018-08-13,3566.10,4709.00,0.00,0.00,0.00,0.00,0.00
2018-08-14,3474.74,4813.00,0.00,0.00,0.00,0.00,0.00
2018-08-15,2638.52,3627.00,0.00,0.00,0.00,0.00,0.00
2018-08-16,5384.53,7380.00,0.00,0.00,0.00,0.00,0.00
2018-08-17,1413.60,1978.00,0.00,0.00,0.00,0.00,0.00
2018-08-18,65.90,94.00,0.00,0.00,0.00,0.00,0.00
2018-08-19,3497.61,4808.00,0.00,0.00,0.00,0.00,0.00
2018-08-20,2243.95,3081.00,0.00,0.00,0.00,0.00,0.00
2018-08-21,3648.56,4931.00,0.00,0.00,0.00,0.00,0.00
2018-08-22,2627.40,3833.00,0.00,0.00,0.00,0.00,0.00
2018-08-23,7221.01,9863.00,0.00,0.00,0.00,0.00,0.00
2018-08-24,3625.85,5168.00,0.00,0.00,0.00,0.00,0.00
2018-08-25,2089.66,2873.00,0.00,0.00,0.00,0.00,0.00
2018-08-26,3273.74,4826.00,0.00,0.00,0.00,0.00,0.00
2018-08-27,3342.48,4730.00,0.00,0.00,0.00,0.00,0.00
2018-08-28,3057.05,4205.00,0.00,0.00,0.00,0.00,0.00
2018-08-29,3041.72,4237.00,0.00,0.00,0.00,0.00,0.00
2018-08-30,2945.82,4383.00,0.00,0.00,0.00,0.00,0.00
2018-08-31,1877.66,2627.00,0.00,0.00,0.00,0.00,0.00
2018-09-01,1654.12,2332.00,0.00,0.00,0.00,0.00,0.00
2018-09-02,3360.75,4820.00,0.00,0.00,0.00,0.00,0.00
2018-09-03,3044.78,3935.00,0.00,0.00,0.00,0.00,0.00
2018-09-04,4549.53,6341.00,0.00,0.00,0.00,0.00,0.00
2018-09-05,5705.45,7904.00,0.00,0.00,0.00,0.00,0.00
2018-09-06,2819.83,4078.00,0.00,0.00,0.00,0.00,0.00
2018-09-07,2540.82,3386.00,0.00,0.00,0.00,0.00,0.00
2018-09-08,2449.33,3375.00,0.00,0.00,0.00,0.00,0.00
2018-09-09,3043.96,4666.00,0.00,0.00,0.00,0.00,0.00
2018-09-10,2682.03,3904.00,0.00,0.00,0.00,0.00,0.00
