Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2022-01-01,2688.86,4151.00,0.00,0.00,0.00,0.00,0.00
2022-01-02,4458.02,6935.00,0.00,0.00,0.00,0.00,0.00
2022-01-03,4410.96,6310.00,0.00,0.00,0.00,0.00,0.00
2022-01-04,4070.96,6142.00,0.00,0.00,0.00,0.00,0.00
2022-01-05,4762.48,7404.00,0.00,0.00,0.00,0.00,0.00
2022-01-06,4137.03,6191.00,0.00,0.00,0.00,0.00,0.00
2022-01-07,4650.14,7340.00,0.00,0.00,0.00,0.00,0.00
2022-01-08,11116.94,17804.00,0.00,0.00,0.00,0.00,0.00
2022-01-09,3836.44,5923.00,0.00,0.00,0.00,0.00,0.00
2022-01-10,2701.31,4648.00,0.00,0.00,0.00,0.00,0.00
2022-01-11,3386.15,5524.00,0.00,0.00,0.00,0.00,0.00
2022-01-12,2697.60,4300.00,0.00,0.00,0.00,0.00,0.00
2022-01-13,1665.15,2483.00,0.00,0.00,0.00,0.00,0.00
2022-01-14,4292.57,6475.00,0.00,0.00,0.00,0.00,0.00
2022-01-15,3208.52,5193.00,0.00,0.00,0.00,0.00,0.00
2022-01-16,4558.58,7220.00,0.00,0.00,0.00,0.00,0.00
2022-01-17,2145.89,3093.00,0.00,0.00,0.00,0.00,0.00
2022-01-18,4837.47,7381.00,0.00,0.00,0.00,0.00,0.00
2022-01-19,3856.84,5901.00,0.00,0.00,0.00,0.00,0.00
2022-01-20,6250.69,8725.00,0.00,0.00,0.00,0.00,0.00
2022-01-21,3164.70,4770.00,0.00,0.00,0.00,0.00,0.00
2022-01-22,3486.13,5434.00,0.00,0.00,0.00,0.00,0.00
2022-01-23,5976.82,8961.00,0.00,0.00,0.00,0.00,0.00
2022-01-24,3515.37,5333.00,0.00,0.00,0.00,0.00,0.00
2022-01-25,3114.83,4743.00,0.00,0.00,0.00,0.00,0.00
2022-01-26,4065.83,6009.00,0.00,0.00,0.00,0.00,0.00
2022-01-27,6815.77,10596.00,0.00,0.00,0.00,0.00,0.00
2022-01-28,4222.13,6312.00,0.00,0.00,0.00,0.00,0.00
2022-01-29,18146.25,25275.00,0.00,0.00,0.00,0.00,0.00
2022-01-30,7109.16,9990.00,0.00,0.00,0.00,0.00,0.00
2022-01-31,8843.05,12309.00,0.00,0.00,0.00,0.00,0.00
2022-02-01,5623.04,8378.00,0.00,0.00,0.00,0.00,0.00
2022-02-02,6251.18,8235.00,0.00,0.00,0.00,0.00,0.00
2022-02-03,9475.33,13976.00,0.00,0.00,0.00,0.00,0.00
2022-02-04,11248.12,16364.00,0.00,0.00,0.00,0.00,0.00
2022-02-05,8358.89,11656.00,0.00,0.00,0.00,0.00,0.00
2022-02-06,3428.10,6617.00,0.00,0.00,0.00,0.00,0.00
2022-02-07,5583.08,7265.00,0.00,0.00,0.00,0.00,0.00
2022-02-08,8008.83,9637.00,0.00,0.00,0.00,0.00,0.00
2022-02-09,7633.81,8719.00,0.00,0.00,0.00,0.00,0.00
2022-02-10,10267.82,13023.00,0.00,0.00,0.00,0.00,0.00
2022-02-11,3401.65,4646.00,0.00,0.00,0.00,0.00,0.00
2022-02-12,11255.68,15806.00,0.00,0.00,0.00,0.00,0.00
2022-02-13,6263.02,9668.00,0.00,0.00,0.00,0.00,0.00
2022-02-14,8143.89,10619.00,0.00,0.00,0.00,0.00,0.00
2022-02-15,8059.44,10976.00,0.00,0.00,0.00,0.00,0.00
2022-02-16,4076.58,5937.00,0.00,0.00,0.00,0.00,0.00
2022-02-17,8170.97,11614.00,0.00,0.00,0.00,0.00,0.00
2022-02-18,8444.49,12662.00,0.00,0.00,0.00,0.00,0.00
2022-02-19,4000.55,5496.00,0.00,0.00,0.00,0.00,0.00
2022-02-20,6881.05,8763.00,0.00,0.00,0.00,0.00,0.00
2022-02-21,6919.69,10135.00,0.00,0.00,0.00,0.00,0.00
2022-02-22,11247.09,15739.00,0.00,0.00,0.00,0.00,0.00
2022-02-23,7616.85,9119.00,0.00,0.00,0.00,0.00,0.00
2022-02-24,10135.60,12619.00,0.00,0.00,0.00,0.00,0.00
2022-02-25,9568.20,13715.00,0.00,0.00,0.00,0.00,0.00
2022-02-26,6455.68,9755.00,0.00,0.00,0.00,0.00,0.00
2022-02-27,8889.26,10930.00,0.00,0.00,0.00,0.00,0.00
2022-02-28,8137.56,11305.00,0.00,0.00,0.00,0.00,0.00
2022-03-01,7327.42,9386.00,0.00,0.00,0.00,0.00,0.00
2022-03-02,7964.54,10414.00,0.00,0.00,0.00,0.00,0.00
2022-03-03,3845.04,4958.00,0.00,0.00,0.00,0.00,0.00
2022-03-04,6293.33,9719.00,0.00,0.00,0.00,0.00,0.00
2022-03-05,3835.26,5556.00,0.00,0.00,0.00,0.00,0.00
2022-03-06,6144.74,7861.00,0.00,0.00,0.00,0.00,0.00
2022-03-07,12029.16,15737.00,0.00,0.00,0.00,0.00,0.00
2022-03-08,4262.27,5156.00,0.00,0.00,0.00,0.00,0.00
2022-03-09,7009.47,9762.00,0.00,0.00,0.00,0.00,0.00
2022-03-10,3035.27,4243.00,0.00,0.00,0.00,0.00,0.00
2022-03-11,2061.02,3367.00,0.00,0.00,0.00,0.00,0.00
2022-03-12,3493.54,5422.00,0.00,0.00,0.00,0.00,0.00
2022-03-13,4666.41,7078.00,0.00,0.00,0.00,0.00,0.00
2022-03-14,4447.61,6926.00,0.00,0.00,0.00,0.00,0.00
2022-03-15,3670.43,5734.00,0.00,0.00,0.00,0.00,0.00
2022-03-16,3282.94,5129.00,0.00,0.00,0.00,0.00,0.00
2022-03-17,5343.02,8764.00,0.00,0.00,0.00,0.00,0.00
2022-03-18,5311.59,9424.00,0.00,0.00,0.00,0.00,0.00
2022-03-19,3812.27,6338.00,0.00,0.00,0.00,0.00,0.00
2022-03-20,3122.92,4761.00,0.00,0.00,0.00,0.00,0.00
2022-03-21,3077.59,4748.00,0.00,0.00,0.00,0.00,0.00
2022-03-22,6413.18,9310.94,0.00,0.00,0.00,0.00,0.00
2022-03-23,5480.28,7659.06,0.00,0.00,0.00,0.00,0.00
2022-03-24,2325.60,3549.00,0.00,0.00,0.00,0.00,0.00
2022-03-25,4258.10,6649.00,0.00,0.00,0.00,0.00,0.00
2022-03-26,4809.84,8463.00,0.00,0.00,0.00,0.00,0.00
2022-03-27,7752.74,10854.00,0.00,0.00,0.00,0.00,0.00
2022-03-28,4876.36,7076.00,0.00,0.00,0.00,0.00,0.00
2022-03-29,10336.64,13264.00,0.00,0.00,0.00,0.00,0.00
2022-03-30,10488.41,12598.00,0.00,0.00,0.00,0.00,0.00
2022-03-31,8607.24,11178.00,0.00,0.00,0.00,0.00,0.00
2022-04-01,4812.79,7150.00,0.00,0.00,0.00,0.00,0.00
2022-04-02,2616.10,4666.00,0.00,0.00,0.00,0.00,0.00
2022-04-03,5272.39,7013.00,0.00,0.00,0.00,0.00,0.00
2022-04-04,10292.69,15153.00,0.00,0.00,0.00,0.00,0.00
2022-04-05,6696.80,7466.00,0.00,0.00,0.00,0.00,0.00
2022-04-06,4775.19,5961.00,0.00,0.00,0.00,0.00,0.00
2022-04-07,4524.54,5753.00,0.00,0.00,0.00,0.00,0.00
2022-04-08,6979.70,12342.00,0.00,0.00,0.00,0.00,0.00
2022-04-09,4583.24,6628.00,0.00,0.00,0.00,0.00,0.00
2022-04-10,2321.95,3164.00,0.00,0.00,0.00,0.00,0.00
2022-04-11,1921.35,2858.00,0.00,0.00,0.00,0.00,0.00
2022-04-12,4834.36,7103.00,0.00,0.00,0.00,0.00,0.00
2022-04-13,4218.26,5804.00,0.00,0.00,0.00,0.00,0.00
2022-04-14,32.70,52.00,0.00,0.00,0.00,0.00,0.00
2022-04-15,9461.00,14453.00,0.00,0.00,0.00,0.00,0.00
2022-04-16,3390.81,4943.00,0.00,0.00,0.00,0.00,0.00
2022-04-17,3212.08,4420.00,0.00,0.00,0.00,0.00,0.00
2022-04-18,3079.44,4214.00,0.00,0.00,0.00,0.00,0.00
2022-04-19,3358.89,4249.00,0.00,0.00,0.00,0.00,0.00
2022-04-20,6107.43,8188.00,0.00,0.00,0.00,0.00,0.00
2022-04-21,2376.17,2989.00,0.00,0.00,0.00,0.00,0.00
