Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2020-01-01,1873.39,2862.00,0.00,0.00,0.00,0.00,0.00
2020-01-02,2009.35,3390.00,0.00,0.00,0.00,0.00,0.00
2020-01-03,7.59,11.00,0.00,0.00,0.00,0.00,0.00
2020-01-04,4458.82,6638.00,0.00,0.00,0.00,0.00,0.00
2020-01-05,3671.27,5321.00,0.00,0.00,0.00,0.00,0.00
2020-01-06,1709.45,2437.00,0.00,0.00,0.00,0.00,0.00
2020-01-07,2363.24,3648.00,0.00,0.00,0.00,0.00,0.00
2020-01-08,3966.69,5851.00,0.00,0.00,0.00,0.00,0.00
2020-01-09,2216.16,3451.00,0.00,0.00,0.00,0.00,0.00
2020-01-10,1717.56,2547.00,0.00,0.00,0.00,0.00,0.00
2020-01-11,3044.28,4713.00,0.00,0.00,0.00,0.00,0.00
2020-01-12,3094.70,4558.00,0.00,0.00,0.00,0.00,0.00
2020-01-13,2311.15,3650.00,0.00,0.00,0.00,0.00,0.00
2020-01-14,2183.26,3459.00,0.00,0.00,0.00,0.00,0.00
2020-01-15,2024.32,3230.00,0.00,0.00,0.00,0.00,0.00
2020-01-16,2354.93,3540.00,0.00,0.00,0.00,0.00,0.00
2020-01-17,2318.11,3651.00,0.00,0.00,0.00,0.00,0.00
2020-01-18,2476.42,3600.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,2689.26,4046.00,0.00,0.00,0.00,0.00,0.00
2020-01-20,956.27,1327.00,0.00,0.00,0.00,0.00,0.00
2020-01-21,139.91,212.00,0.00,0.00,0.00,0.00,0.00
2020-01-22,166.06,256.00,0.00,0.00,0.00,0.00,0.00
2020-01-23,2049.65,3338.00,0.00,0.00,0.00,0.00,0.00
2020-01-24,90.82,131.00,0.00,0.00,0.00,0.00,0.00
2020-01-25,54.49,89.00,0.00,0.00,0.00,0.00,0.00
2020-01-26,3514.04,5481.00,0.00,0.00,0.00,0.00,0.00
2020-01-27,176.19,270.00,0.00,0.00,0.00,0.00,0.00
2020-01-28,17.28,26.00,0.00,0.00,0.00,0.00,0.00
2020-01-29,2859.95,3858.00,0.00,0.00,0.00,0.00,0.00
2020-01-30,91.35,148.00,0.00,0.00,0.00,0.00,0.00
2020-01-31,270.79,411.00,0.00,0.00,0.00,0.00,0.00
2020-02-01,70.88,116.00,0.00,0.00,0.00,0.00,0.00
2020-02-02,171.57,258.00,0.00,0.00,0.00,0.00,0.00
2020-02-03,123.16,205.00,0.00,0.00,0.00,0.00,0.00
2020-02-04,126.14,194.00,0.00,0.00,0.00,0.00,0.00
2020-02-05,169.99,228.00,0.00,0.00,0.00,0.00,0.00
2020-02-06,104.64,159.00,0.00,0.00,0.00,0.00,0.00
2020-02-07,248.60,380.00,0.00,0.00,0.00,0.00,0.00
2020-02-08,60.31,95.00,0.00,0.00,0.00,0.00,0.00
2020-02-09,115.75,173.00,0.00,0.00,0.00,0.00,0.00
2020-02-10,190.16,279.00,0.00,0.00,0.00,0.00,0.00
2020-02-11,227.65,342.00,0.00,0.00,0.00,0.00,0.00
2020-02-12,144.60,228.00,0.00,0.00,0.00,0.00,0.00
2020-02-13,759.69,1102.00,0.00,0.00,0.00,0.00,0.00
2020-02-14,92.03,137.00,0.00,0.00,0.00,0.00,0.00
2020-02-15,154.35,232.00,0.00,0.00,0.00,0.00,0.00
2020-02-16,128.21,208.00,0.00,0.00,0.00,0.00,0.00
2020-02-17,343.53,500.00,0.00,0.00,0.00,0.00,0.00
2020-02-18,320.85,482.00,0.00,0.00,0.00,0.00,0.00
2020-02-19,44.57,79.00,0.00,0.00,0.00,0.00,0.00
2020-02-20,447.67,683.00,0.00,0.00,0.00,0.00,0.00
2020-02-21,139.56,215.00,0.00,0.00,0.00,0.00,0.00
2020-02-22,155.12,230.00,0.00,0.00,0.00,0.00,0.00
2020-02-23,1627.77,2247.00,0.00,0.00,0.00,0.00,0.00
2020-02-24,1601.86,2449.00,0.00,0.00,0.00,0.00,0.00
2020-02-25,549.62,898.00,0.00,0.00,0.00,0.00,0.00
2020-02-26,25.12,37.00,0.00,0.00,0.00,0.00,0.00
2020-02-27,87.97,137.00,0.00,0.00,0.00,0.00,0.00
2020-02-28,1129.56,1681.00,0.00,0.00,0.00,0.00,0.00
2020-02-29,110.18,164.00,0.00,0.00,0.00,0.00,0.00
2020-03-01,151.59,222.00,0.00,0.00,0.00,0.00,0.00
2020-03-02,58.69,88.00,0.00,0.00,0.00,0.00,0.00
2020-03-03,216.46,320.00,0.00,0.00,0.00,0.00,0.00
2020-03-04,1761.80,2750.00,0.00,0.00,0.00,0.00,0.00
2020-03-05,1636.78,2487.00,0.00,0.00,0.00,0.00,0.00
2020-03-06,958.75,1612.00,0.00,0.00,0.00,0.00,0.00
2020-03-07,139.33,211.00,0.00,0.00,0.00,0.00,0.00
2020-03-08,1953.93,3033.00,0.00,0.00,0.00,0.00,0.00
2020-03-09,2580.19,3916.00,0.00,0.00,0.00,0.00,0.00
2020-03-10,2584.79,4041.00,0.00,0.00,0.00,0.00,0.00
2020-03-11,1776.47,2643.00,0.00,0.00,0.00,0.00,0.00
2020-03-12,1361.89,2156.00,0.00,0.00,0.00,0.00,0.00
2020-03-13,36.22,52.00,0.00,0.00,0.00,0.00,0.00
2020-03-14,40.74,57.00,0.00,0.00,0.00,0.00,0.00
2020-03-15,1848.20,2678.00,0.00,0.00,0.00,0.00,0.00
2020-03-16,1832.01,2602.00,0.00,0.00,0.00,0.00,0.00
2020-03-17,1219.69,1786.00,0.00,0.00,0.00,0.00,0.00
2020-03-18,1498.18,2173.00,0.00,0.00,0.00,0.00,0.00
2020-03-19,881.84,1339.00,0.00,0.00,0.00,0.00,0.00
2020-03-20,66.67,103.00,0.00,0.00,0.00,0.00,0.00
2020-03-21,6858.89,10966.00,0.00,0.00,0.00,0.00,0.00
2020-03-22,1480.85,2275.00,0.00,0.00,0.00,0.00,0.00
2020-03-23,1449.64,2127.00,0.00,0.00,0.00,0.00,0.00
2020-03-24,456.77,702.00,0.00,0.00,0.00,0.00,0.00
2020-03-25,2919.00,4259.00,0.00,0.00,0.00,0.00,0.00
2020-03-26,3032.44,4219.00,0.00,0.00,0.00,0.00,0.00
2020-03-27,1755.72,2610.00,0.00,0.00,0.00,0.00,0.00
2020-03-28,33.88,53.00,0.00,0.00,0.00,0.00,0.00
2020-03-29,2619.59,3496.00,0.00,0.00,0.00,0.00,0.00
2020-03-30,2122.06,3070.00,0.00,0.00,0.00,0.00,0.00
2020-03-31,1891.74,2757.00,0.00,0.00,0.00,0.00,0.00
2020-04-01,1877.57,2838.00,0.00,0.00,0.00,0.00,0.00
2020-04-02,1392.15,2066.00,0.00,0.00,0.00,0.00,0.00
2020-04-03,3479.26,4773.00,0.00,0.00,0.00,0.00,0.00
2020-04-04,6583.58,9769.00,0.00,0.00,0.00,0.00,0.00
2020-04-05,22.37,32.00,0.00,0.00,0.00,0.00,0.00
2020-04-06,2506.26,3466.00,0.00,0.00,0.00,0.00,0.00
2020-04-07,1757.25,2511.00,0.00,0.00,0.00,0.00,0.00
2020-04-08,2028.78,2851.00,0.00,0.00,0.00,0.00,0.00
2020-04-09,1345.57,1957.00,0.00,0.00,0.00,0.00,0.00
2020-04-10,1249.28,1884.00,0.00,0.00,0.00,0.00,0.00
2020-04-11,9278.45,14494.00,0.00,0.00,0.00,0.00,0.00
2020-04-12,2398.26,3415.00,0.00,0.00,0.00,0.00,0.00
2020-04-13,2483.87,3948.00,0.00,0.00,0.00,0.00,0.00
2020-04-14,3767.00,5524.00,0.00,0.00,0.00,0.00,0.00
2020-04-15,5016.59,6720.00,0.00,0.00,0.00,0.00,0.00
2020-04-16,1156.80,1747.00,0.00,0.00,0.00,0.00,0.00
2020-04-17,609.80,912.00,0.00,0.00,0.00,0.00,0.00
2020-04-18,3188.61,5094.00,0.00,0.00,0.00,0.00,0.00
2020-04-19,2053.25,3204.00,0.00,0.00,0.00,0.00,0.00
2020-04-20,1632.68,2610.00,0.00,0.00,0.00,0.00,0.00
2020-04-21,1290.24,1947.00,0.00,0.00,0.00,0.00,0.00
2020-04-22,2606.62,4116.00,0.00,0.00,0.00,0.00,0.00
2020-04-23,1187.92,1824.00,0.00,0.00,0.00,0.00,0.00
2020-04-24,2274.08,3355.00,0.00,0.00,0.00,0.00,0.00
2020-04-25,1451.77,2136.00,0.00,0.00,0.00,0.00,0.00
2020-04-26,2188.43,3343.00,0.00,0.00,0.00,0.00,0.00
2020-04-27,2830.21,4253.00,0.00,0.00,0.00,0.00,0.00
2020-04-28,1526.92,2225.00,0.00,0.00,0.00,0.00,0.00
2020-04-29,1463.08,2111.00,0.00,0.00,0.00,0.00,0.00
2020-04-30,11.50,18.00,0.00,0.00,0.00,0.00,0.00
2020-05-01,2993.96,4013.00,0.00,0.00,0.00,0.00,0.00
2020-05-02,6100.98,8172.00,0.00,0.00,0.00,0.00,0.00
2020-05-03,1841.73,2619.00,0.00,0.00,0.00,0.00,0.00
2020-05-04,40.43,58.00,0.00,0.00,0.00,0.00,0.00
2020-05-05,1856.55,2793.00,0.00,0.00,0.00,0.00,0.00
2020-05-06,2275.84,3621.00,0.00,0.00,0.00,0.00,0.00
2020-05-07,2104.11,2988.00,0.00,0.00,0.00,0.00,0.00
2020-05-08,1601.27,2372.00,0.00,0.00,0.00,0.00,0.00
2020-05-09,2936.08,4394.00,0.00,0.00,0.00,0.00,0.00
2020-05-10,2669.96,4150.00,0.00,0.00,0.00,0.00,0.00
2020-05-11,2282.39,3710.00,0.00,0.00,0.00,0.00,0.00
2020-05-12,1326.60,1954.00,0.00,0.00,0.00,0.00,0.00
2020-05-13,1125.34,1630.00,0.00,0.00,0.00,0.00,0.00
2020-05-14,2820.73,4311.00,0.00,0.00,0.00,0.00,0.00
2020-05-15,3616.70,5577.00,0.00,0.00,0.00,0.00,0.00
2020-05-16,41.02,65.00,0.00,0.00,0.00,0.00,0.00
2020-05-17,2465.71,4088.00,0.00,0.00,0.00,0.00,0.00
2020-05-18,2217.40,3296.00,0.00,0.00,0.00,0.00,0.00
2020-05-19,2458.77,3659.00,0.00,0.00,0.00,0.00,0.00
2020-05-20,2137.19,3445.00,0.00,0.00,0.00,0.00,0.00
2020-05-21,1087.22,1612.00,0.00,0.00,0.00,0.00,0.00
2020-05-22,1750.16,2466.00,0.00,0.00,0.00,0.00,0.00
2020-05-23,1722.55,2787.00,0.00,0.00,0.00,0.00,0.00
2020-05-24,1678.92,2523.00,0.00,0.00,0.00,0.00,0.00
2020-05-25,1655.15,2559.00,0.00,0.00,0.00,0.00,0.00
2020-05-26,913.42,1413.00,0.00,0.00,0.00,0.00,0.00
2020-05-27,2071.42,3473.00,0.00,0.00,0.00,0.00,0.00
2020-05-28,2021.30,3111.00,0.00,0.00,0.00,0.00,0.00
2020-05-29,59.59,105.00,0.00,0.00,0.00,0.00,0.00
2020-05-30,1522.10,2345.00,0.00,0.00,0.00,0.00,0.00
2020-05-31,2723.30,3858.00,0.00,0.00,0.00,0.00,0.00
2020-06-01,2826.43,4544.00,0.00,0.00,0.00,0.00,0.00
2020-06-02,1677.82,2613.00,0.00,0.00,0.00,0.00,0.00
2020-06-03,1853.19,2829.00,0.00,0.00,0.00,0.00,0.00
2020-06-04,1133.47,1668.00,0.00,0.00,0.00,0.00,0.00
2020-06-05,2721.68,3839.00,0.00,0.00,0.00,0.00,0.00
2020-06-06,3979.72,6431.00,0.00,0.00,0.00,0.00,0.00
2020-06-07,2470.11,3330.00,0.00,0.00,0.00,0.00,0.00
2020-06-08,2678.30,3663.00,0.00,0.00,0.00,0.00,0.00
2020-06-09,2161.81,3128.00,0.00,0.00,0.00,0.00,0.00
2020-06-10,3923.23,5506.00,0.00,0.00,0.00,0.00,0.00
2020-06-11,1628.96,2308.00,0.00,0.00,0.00,0.00,0.00
2020-06-12,82.86,126.00,0.00,0.00,0.00,0.00,0.00
2020-06-13,3879.58,5899.00,0.00,0.00,0.00,0.00,0.00
2020-06-14,1942.89,2721.00,0.00,0.00,0.00,0.00,0.00
2020-06-15,2761.52,3702.00,0.00,0.00,0.00,0.00,0.00
2020-06-16,2110.44,3029.00,0.00,0.00,0.00,0.00,0.00
2020-06-17,2982.57,4127.00,0.00,0.00,0.00,0.00,0.00
2020-06-18,1355.67,1991.00,0.00,0.00,0.00,0.00,0.00
2020-06-19,935.70,1362.00,0.00,0.00,0.00,0.00,0.00
2020-06-20,46.11,68.00,0.00,0.00,0.00,0.00,0.00
2020-06-21,1856.20,2685.00,0.00,0.00,0.00,0.00,0.00
2020-06-22,4584.23,6339.00,0.00,0.00,0.00,0.00,0.00
2020-06-23,2164.99,2974.00,0.00,0.00,0.00,0.00,0.00
2020-06-24,1892.72,2778.00,0.00,0.00,0.00,0.00,0.00
2020-06-25,3368.96,5974.00,0.00,0.00,0.00,0.00,0.00
2020-06-26,2746.35,4062.00,0.00,0.00,0.00,0.00,0.00
2020-06-27,2151.30,3079.00,0.00,0.00,0.00,0.00,0.00
2020-06-28,3512.76,4575.00,0.00,0.00,0.00,0.00,0.00
2020-06-29,2330.63,3882.00,0.00,0.00,0.00,0.00,0.00
2020-06-30,2501.37,3566.00,0.00,0.00,0.00,0.00,0.00
2020-07-01,1767.51,2508.00,0.00,0.00,0.00,0.00,0.00
2020-07-02,1788.97,2449.00,0.00,0.00,0.00,0.00,0.00
2020-07-03,685.56,977.00,0.00,0.00,0.00,0.00,0.00
2020-07-04,1159.11,1943.00,0.00,0.00,0.00,0.00,0.00
2020-07-05,3636.64,5183.00,0.00,0.00,0.00,0.00,0.00
2020-07-06,2842.11,4059.00,0.00,0.00,0.00,0.00,0.00
2020-07-07,2141.71,3049.00,0.00,0.00,0.00,0.00,0.00
2020-07-08,3212.08,4545.00,0.00,0.00,0.00,0.00,0.00
2020-07-09,1441.57,2083.00,0.00,0.00,0.00,0.00,0.00
2020-07-10,7726.09,11277.00,0.00,0.00,0.00,0.00,0.00
2020-07-11,6667.56,9697.00,0.00,0.00,0.00,0.00,0.00
2020-07-12,2129.45,3096.00,0.00,0.00,0.00,0.00,0.00
2020-07-13,3722.05,5185.00,0.00,0.00,0.00,0.00,0.00
2020-07-14,2036.27,2843.00,0.00,0.00,0.00,0.00,0.00
2020-07-15,4727.33,6688.00,0.00,0.00,0.00,0.00,0.00
2020-07-16,2000.31,2856.00,0.00,0.00,0.00,0.00,0.00
2020-07-17,2537.00,4312.00,0.00,0.00,0.00,0.00,0.00
2020-07-18,2893.77,4229.00,0.00,0.00,0.00,0.00,0.00
2020-07-19,3059.84,4295.00,0.00,0.00,0.00,0.00,0.00
2020-07-20,2654.86,3703.00,0.00,0.00,0.00,0.00,0.00
2020-07-21,1283.25,1835.00,0.00,0.00,0.00,0.00,0.00
2020-07-22,2718.29,3911.00,0.00,0.00,0.00,0.00,0.00
2020-07-23,2002.31,2765.00,0.00,0.00,0.00,0.00,0.00
2020-07-24,3233.28,4612.00,0.00,0.00,0.00,0.00,0.00
2020-07-25,1979.28,3209.00,0.00,0.00,0.00,0.00,0.00
2020-07-26,2678.18,3709.00,0.00,0.00,0.00,0.00,0.00
2020-07-27,3205.56,4310.00,0.00,0.00,0.00,0.00,0.00
2020-07-28,1473.10,2063.00,0.00,0.00,0.00,0.00,0.00
2020-07-29,1889.03,2676.00,0.00,0.00,0.00,0.00,0.00
2020-07-30,6251.77,8302.00,0.00,0.00,0.00,0.00,0.00
2020-07-31,3388.96,4778.00,0.00,0.00,0.00,0.00,0.00
2020-08-01,827.94,1196.00,0.00,0.00,0.00,0.00,0.00
