Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2021-01-01,2077.56,3249.00,0.00,0.00,0.00,0.00,0.00
2021-01-02,5787.87,7938.00,0.00,0.00,0.00,0.00,0.00
2021-01-03,3893.25,5468.00,0.00,0.00,0.00,0.00,0.00
2021-01-04,2866.04,4021.00,0.00,0.00,0.00,0.00,0.00
2021-01-05,3885.08,5371.00,0.00,0.00,0.00,0.00,0.00
2021-01-06,2289.38,3291.00,0.00,0.00,0.00,0.00,0.00
2021-01-07,2425.39,3427.00,0.00,0.00,0.00,0.00,0.00
2021-01-08,1996.07,3045.00,0.00,0.00,0.00,0.00,0.00
2021-01-09,5797.22,8390.00,0.00,0.00,0.00,0.00,0.00
2021-01-10,2931.19,4167.00,0.00,0.00,0.00,0.00,0.00
2021-01-11,6321.19,8579.00,0.00,0.00,0.00,0.00,0.00
2021-01-12,3542.61,4931.00,0.00,0.00,0.00,0.00,0.00
2021-01-13,2961.57,4645.00,0.00,0.00,0.00,0.00,0.00
2021-01-14,2616.57,3633.00,0.00,0.00,0.00,0.00,0.00
2021-01-15,4590.05,6719.00,0.00,0.00,0.00,0.00,0.00
2021-01-16,4330.91,5638.00,0.00,0.00,0.00,0.00,0.00
2021-01-17,4547.26,6735.00,0.00,0.00,0.00,0.00,0.00
2021-01-18,2071.65,2918.00,0.00,0.00,0.00,0.00,0.00
2021-01-19,3347.36,4732.00,0.00,0.00,0.00,0.00,0.00
2021-01-20,2417.40,3523.00,0.00,0.00,0.00,0.00,0.00
2021-01-21,3737.72,5348.00,0.00,0.00,0.00,0.00,0.00
2021-01-22,28.73,50.00,0.00,0.00,0.00,0.00,0.00
2021-01-23,5916.07,8368.00,0.00,0.00,0.00,0.00,0.00
2021-01-24,2765.78,4130.00,0.00,0.00,0.00,0.00,0.00
2021-01-25,4035.10,5607.00,0.00,0.00,0.00,0.00,0.00
2021-01-26,3259.88,4343.00,0.00,0.00,0.00,0.00,0.00
2021-01-27,3301.32,4463.00,0.00,0.00,0.00,0.00,0.00
2021-01-28,3871.09,5216.00,0.00,0.00,0.00,0.00,0.00
2021-01-29,147.54,230.00,0.00,0.00,0.00,0.00,0.00
2021-01-30,2712.24,4231.00,0.00,0.00,0.00,0.00,0.00
2021-01-31,2048.04,3000.00,0.00,0.00,0.00,0.00,0.00
2021-02-01,3406.36,4991.00,0.00,0.00,0.00,0.00,0.00
2021-02-02,2777.22,3862.00,0.00,0.00,0.00,0.00,0.00
2021-02-03,3400.81,5036.00,0.00,0.00,0.00,0.00,0.00
2021-02-04,2899.82,3880.00,0.00,0.00,0.00,0.00,0.00
2021-02-05,3084.96,4383.00,0.00,0.00,0.00,0.00,0.00
2021-02-06,4174.18,5856.00,0.00,0.00,0.00,0.00,0.00
2021-02-07,3177.03,4709.00,0.00,0.00,0.00,0.00,0.00
2021-02-08,6565.40,8698.00,0.00,0.00,0.00,0.00,0.00
2021-02-09,205.01,315.00,0.00,0.00,0.00,0.00,0.00
2021-02-10,6624.06,8272.00,0.00,0.00,0.00,0.00,0.00
2021-02-11,9073.75,10574.00,0.00,0.00,0.00,0.00,0.00
2021-02-12,7347.24,8367.00,0.00,0.00,0.00,0.00,0.00
2021-02-13,7209.48,10032.00,0.00,0.00,0.00,0.00,0.00
2021-02-14,8323.50,10345.00,0.00,0.00,0.00,0.00,0.00
2021-02-15,9687.52,14513.00,0.00,0.00,0.00,0.00,0.00
2021-02-16,11465.15,9803.00,0.00,0.00,0.00,0.00,0.00
2021-02-17,218.19,348.00,0.00,0.00,0.00,0.00,0.00
2021-02-18,2761.29,4058.00,0.00,0.00,0.00,0.00,0.00
2021-02-19,2539.80,3685.00,0.00,0.00,0.00,0.00,0.00
2021-02-20,2521.55,3430.00,0.00,0.00,0.00,0.00,0.00
2021-02-21,4444.32,6414.00,0.00,0.00,0.00,0.00,0.00
2021-02-22,3957.24,5609.00,0.00,0.00,0.00,0.00,0.00
2021-02-23,2600.82,3840.00,0.00,0.00,0.00,0.00,0.00
2021-02-24,3531.84,5012.00,0.00,0.00,0.00,0.00,0.00
2021-02-25,3353.31,4988.00,0.00,0.00,0.00,0.00,0.00
2021-02-26,134.27,206.00,0.00,0.00,0.00,0.00,0.00
2021-02-27,5070.38,8395.00,0.00,0.00,0.00,0.00,0.00
2021-02-28,3947.46,5938.00,0.00,0.00,0.00,0.00,0.00
2021-03-01,5263.21,7266.00,0.00,0.00,0.00,0.00,0.00
2021-03-02,2778.06,4011.00,0.00,0.00,0.00,0.00,0.00
2021-03-03,4536.47,7029.00,0.00,0.00,0.00,0.00,0.00
2021-03-04,2529.74,4041.00,0.00,0.00,0.00,0.00,0.00
2021-03-05,55.21,80.00,0.00,0.00,0.00,0.00,0.00
2021-03-06,4406.47,6217.00,0.00,0.00,0.00,0.00,0.00
2021-03-07,3320.74,4454.00,0.00,0.00,0.00,0.00,0.00
2021-03-08,4322.39,5767.00,0.00,0.00,0.00,0.00,0.00
2021-03-09,2967.97,4263.00,0.00,0.00,0.00,0.00,0.00
2021-03-10,3834.14,5623.00,0.00,0.00,0.00,0.00,0.00
2021-03-11,2973.31,4539.00,0.00,0.00,0.00,0.00,0.00
2021-03-12,5035.48,8235.00,0.00,0.00,0.00,0.00,0.00
2021-03-13,104.28,149.00,0.00,0.00,0.00,0.00,0.00
2021-03-14,4228.67,6370.00,0.00,0.00,0.00,0.00,0.00
2021-03-15,4133.41,5972.00,0.00,0.00,0.00,0.00,0.00
2021-03-16,3692.77,5178.00,0.00,0.00,0.00,0.00,0.00
2021-03-17,4856.77,7220.00,0.00,0.00,0.00,0.00,0.00
2021-03-18,3588.64,5454.00,0.00,0.00,0.00,0.00,0.00
2021-03-19,1541.35,2150.00,0.00,0.00,0.00,0.00,0.00
2021-03-20,4083.50,5458.00,0.00,0.00,0.00,0.00,0.00
2021-03-21,4731.52,6854.00,0.00,0.00,0.00,0.00,0.00
2021-03-22,4257.49,6427.00,0.00,0.00,0.00,0.00,0.00
2021-03-23,3510.74,4906.00,0.00,0.00,0.00,0.00,0.00
2021-03-24,2576.66,3674.00,0.00,0.00,0.00,0.00,0.00
