Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2025-12-31,4686.68,7088.00,0.00,0.00,0.00,0.00,0.00
2026-01-01,1183.75,1756.00,0.00,0.00,0.00,0.00,0.00
2026-01-02,6548.05,9880.00,0.00,0.00,0.00,0.00,0.00
2026-01-03,4764.78,6942.00,0.00,0.00,0.00,0.00,0.00
2026-01-04,3496.24,5070.00,0.00,0.00,0.00,0.00,0.00
2026-01-05,5354.29,7875.00,0.00,0.00,0.00,0.00,0.00
2026-01-06,1879.00,2706.00,0.00,0.00,0.00,0.00,0.00
2026-01-07,6369.49,9275.53,0.00,0.00,0.00,0.00,0.00
2026-01-08,4308.44,6759.00,0.00,0.00,0.00,0.00,0.00
2026-01-09,1974.42,2955.00,0.00,0.00,0.00,0.00,0.00
2026-01-10,3739.61,5447.00,0.00,0.00,0.00,0.00,0.00
2026-01-11,10745.38,13710.04,0.00,0.00,0.00,0.00,0.00
2026-01-12,597.77,928.96,0.00,0.00,0.00,0.00,0.00
2026-01-13,2642.36,4068.00,0.00,0.00,0.00,0.00,0.00
2026-01-14,3739.23,5769.00,0.00,0.00,0.00,0.00,0.00
2026-01-15,5410.33,8183.00,0.00,0.00,0.00,0.00,0.00
2026-01-16,2767.98,4120.00,0.00,0.00,0.00,0.00,0.00
2026-01-17,1556.93,2480.00,0.00,0.00,0.00,0.00,0.00
2026-01-18,3758.56,5841.00,0.00,0.00,0.00,0.00,0.00
2026-01-19,335.35,536.00,0.00,0.00,0.00,0.00,0.00
2026-01-20,2123.69,3163.00,0.00,0.00,0.00,0.00,0.00
2026-01-21,6643.27,10194.68,0.00,0.00,0.00,0.00,0.00
2026-01-22,5771.86,8406.59,0.00,0.00,0.00,0.00,0.00
2026-01-23,1862.42,2736.00,0.00,0.00,0.00,0.00,0.00
2026-01-24,2379.73,3493.00,0.00,0.00,0.00,0.00,0.00
2026-01-25,7398.89,10814.00,0.00,0.00,0.00,0.00,0.00
2026-01-26,6043.92,9150.00,0.00,0.00,0.00,0.00,0.00
2026-01-27,7494.81,11170.00,0.00,0.00,0.00,0.00,0.00
2026-01-28,5192.15,4551.00,0.00,0.00,0.00,0.00,0.00
2026-01-29,3626.58,5650.00,0.00,0.00,0.00,0.00,0.00
2026-01-30,2527.21,3755.83,0.00,0.00,0.00,0.00,0.00
2026-01-31,832.15,1471.17,0.00,0.00,0.00,0.00,0.00
2026-02-01,2142.44,3195.00,0.00,0.00,0.00,0.00,0.00
2026-02-02,6236.03,9350.22,0.00,0.00,0.00,0.00,0.00
2026-02-03,4618.57,7315.78,0.00,0.00,0.00,0.00,0.00
2026-02-04,3258.98,5462.00,0.00,0.00,0.00,0.00,0.00
2026-02-05,233.13,344.00,0.00,0.00,0.00,0.00,0.00
2026-02-06,5570.02,8932.00,0.00,0.00,0.00,0.00,0.00
2026-02-07,1620.86,2390.00,0.00,0.00,0.00,0.00,0.00
2026-02-08,5168.64,8009.46,0.00,0.00,0.00,0.00,0.00
2026-02-09,7662.11,11423.54,0.00,0.00,0.00,0.00,0.00
2026-02-10,3425.40,5155.00,0.00,0.00,0.00,0.00,0.00
2026-02-11,1138.08,1789.00,0.00,0.00,0.00,0.00,0.00
2026-02-12,4883.18,7454.00,0.00,0.00,0.00,0.00,0.00
2026-02-13,3465.10,5305.00,0.00,0.00,0.00,0.00,0.00
2026-02-14,6387.76,9954.00,0.00,0.00,0.00,0.00,0.00
2026-02-15,1467.81,2220.71,0.00,0.00,0.00,0.00,0.00
2026-02-16,189.56,306.00,0.00,0.00,0.00,0.00,0.00
2026-02-17,6484.14,9910.37,0.00,0.00,0.00,0.00,0.00
2026-02-18,2495.32,3934.34,0.00,0.00,0.00,0.00,0.00
2026-02-19,5114.59,8486.00,0.00,0.00,0.00,0.00,0.00
2026-02-20,1106.38,1691.00,0.00,0.00,0.00,0.00,0.00
2026-02-21,2712.23,4234.00,0.00,0.00,0.00,0.00,0.00
2026-02-22,3934.62,6252.97,0.00,0.00,0.00,0.00,0.00
2026-02-23,4559.23,6869.97,0.00,0.00,0.00,0.00,0.00
2026-02-24,8395.49,12478.63,0.00,0.00,0.00,0.00,0.00
2026-02-25,4347.91,6606.68,0.00,0.00,0.00,0.00,0.00
2026-02-26,5556.60,8668.00,0.00,0.00,0.00,0.00,0.00
2026-02-27,4758.84,6705.00,0.00,0.00,0.00,0.00,0.00
2026-02-28,2242.11,3385.00,0.00,0.00,0.00,0.00,0.00
2026-03-01,8311.59,11244.00,0.00,0.00,0.00,0.00,0.00
2026-03-02,4967.76,7628.00,0.00,0.00,0.00,0.00,0.00
2026-03-03,5233.19,8088.00,0.00,0.00,0.00,0.00,0.00
2026-03-04,3733.96,5576.25,0.00,0.00,0.00,0.00,0.00
2026-03-05,3854.21,5639.41,0.00,0.00,0.00,0.00,0.00
2026-03-06,10303.55,16752.00,0.00,0.00,0.00,0.00,0.00
2026-03-07,9228.91,13043.84,0.00,0.00,5725.67,0.00,0.00
2026-03-08,4975.39,7832.00,0.00,0.00,0.00,0.00,0.00
2026-03-09,6500.35,9812.00,0.00,0.00,1125.08,0.00,0.00
2026-03-10,6799.08,9537.00,0.00,0.00,0.00,0.00,0.00
2026-03-11,8241.87,11619.00,0.00,0.00,0.00,0.00,0.00
