Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2019-01-01,3352.35,4550.00,0.00,0.00,0.00,0.00,0.00
2019-01-02,4198.82,5543.00,0.00,0.00,0.00,0.00,0.00
2019-01-03,3783.11,5217.00,0.00,0.00,0.00,0.00,0.00
2019-01-04,4454.55,5723.00,0.00,0.00,0.00,0.00,0.00
2019-01-05,5849.13,7515.00,0.00,0.00,0.00,0.00,0.00
2019-01-06,4562.94,6662.00,0.00,0.00,0.00,0.00,0.00
2019-01-07,3609.44,5319.00,0.00,0.00,0.00,0.00,0.00
2019-01-08,3869.16,5594.00,0.00,0.00,0.00,0.00,0.00
2019-01-09,4422.96,5970.00,0.00,0.00,0.00,0.00,0.00
2019-01-10,2971.14,4064.00,0.00,0.00,0.00,0.00,0.00
2019-01-11,2102.88,2881.00,0.00,0.00,0.00,0.00,0.00
2019-01-12,1143.65,1818.00,0.00,0.00,0.00,0.00,0.00
2019-01-13,3932.43,5340.00,0.00,0.00,0.00,0.00,0.00
2019-01-14,3895.91,5411.00,0.00,0.00,0.00,0.00,0.00
2019-01-15,3740.25,5368.00,0.00,0.00,0.00,0.00,0.00
2019-01-16,5165.38,7391.00,0.00,0.00,0.00,0.00,0.00
2019-01-17,7226.06,10429.00,0.00,0.00,0.00,0.00,0.00
2019-01-18,4570.08,5795.00,0.00,0.00,0.00,0.00,0.00
2019-01-19,8295.14,12367.00,0.00,0.00,0.00,0.00,0.00
2019-01-20,4469.15,6228.00,0.00,0.00,0.00,0.00,0.00
2019-01-21,5489.25,7662.00,0.00,0.00,0.00,0.00,0.00
2019-01-22,3611.86,4790.00,0.00,0.00,0.00,0.00,0.00
2019-01-23,3194.57,4465.00,0.00,0.00,0.00,0.00,0.00
2019-01-24,2882.72,4072.00,0.00,0.00,0.00,0.00,0.00
2019-01-25,50.34,70.00,0.00,0.00,0.00,0.00,0.00
2019-01-26,3384.47,4771.00,0.00,0.00,0.00,0.00,0.00
2019-01-27,3930.21,5535.00,0.00,0.00,0.00,0.00,0.00
2019-01-28,4029.30,6015.00,0.00,0.00,0.00,0.00,0.00
