Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2023-01-01,4781.59,7385.00,0.00,0.00,0.00,0.00,0.00
2023-01-02,1550.30,2223.00,0.00,0.00,0.00,0.00,0.00
2023-01-03,1213.24,1708.00,0.00,0.00,0.00,0.00,0.00
2023-01-04,3656.68,5333.00,0.00,0.00,0.00,0.00,0.00
2023-01-05,5154.17,7444.00,0.00,0.00,0.00,0.00,0.00
2023-01-06,850.89,1320.00,0.00,0.00,0.00,0.00,0.00
2023-01-07,3349.18,4881.00,0.00,0.00,0.00,0.00,0.00
2023-01-08,3127.03,4464.00,0.00,0.00,0.00,0.00,0.00
2023-01-09,5836.76,8362.00,0.00,0.00,0.00,0.00,0.00
2023-01-10,3739.86,5059.00,0.00,0.00,0.00,0.00,0.00
2023-01-11,3484.03,4902.00,0.00,0.00,0.00,0.00,0.00
2023-01-12,4776.37,6386.00,0.00,0.00,0.00,0.00,0.00
2023-01-13,683.80,946.00,0.00,0.00,0.00,0.00,0.00
2023-01-14,2447.12,3483.00,0.00,0.00,0.00,0.00,0.00
2023-01-15,5105.88,7232.00,0.00,0.00,0.00,0.00,0.00
2023-01-16,4313.71,6241.00,0.00,0.00,0.00,0.00,0.00
2023-01-17,1098.54,1628.00,0.00,0.00,0.00,0.00,0.00
2023-01-18,3413.48,5140.00,0.00,0.00,0.00,0.00,0.00
2023-01-19,4490.63,6383.00,0.00,0.00,0.00,0.00,0.00
2023-01-20,4723.17,6435.00,0.00,0.00,0.00,0.00,0.00
2023-01-21,1096.42,1663.00,0.00,0.00,0.00,0.00,0.00
2023-01-22,554.01,795.00,0.00,0.00,0.00,0.00,0.00
2023-01-23,2065.80,3099.00,0.00,0.00,0.00,0.00,0.00
2023-01-24,2875.43,4155.00,0.00,0.00,0.00,0.00,0.00
2023-01-25,4749.78,6545.00,0.00,0.00,0.00,0.00,0.00
2023-01-26,2757.68,4384.00,0.00,0.00,0.00,0.00,0.00
2023-01-27,3438.38,5079.00,0.00,0.00,0.00,0.00,0.00
2023-01-28,6804.83,9209.00,0.00,0.00,0.00,0.00,0.00
2023-01-29,6376.37,8477.00,0.00,0.00,0.00,0.00,0.00
2023-01-30,6195.35,8720.10,0.00,0.00,0.00,0.00,0.00
2023-01-31,5296.82,7695.00,0.00,0.00,0.00,0.00,0.00
2023-02-01,3099.09,4491.00,0.00,0.00,0.00,0.00,0.00
2023-02-02,5319.12,7181.00,0.00,0.00,0.00,0.00,0.00
2023-02-03,1889.72,2853.00,0.00,0.00,0.00,0.00,0.00
2023-02-04,4674.65,7247.00,0.00,0.00,0.00,0.00,0.00
2023-02-05,4323.45,6380.00,0.00,0.00,0.00,0.00,0.00
2023-02-06,8736.40,11558.00,0.00,0.00,0.00,0.00,0.00
2023-02-07,7298.29,9812.00,0.00,0.00,0.00,0.00,0.00
2023-02-08,2275.64,3217.00,0.00,0.00,0.00,0.00,0.00
2023-02-09,4201.71,5521.00,0.00,0.00,0.00,0.00,0.00
2023-02-10,6100.53,9441.00,0.00,0.00,0.00,0.00,0.00
2023-02-11,1714.52,2413.00,0.00,0.00,0.00,0.00,0.00
2023-02-12,2163.57,3033.00,0.00,0.00,0.00,0.00,0.00
2023-02-13,4155.75,5720.00,0.00,0.00,0.00,0.00,0.00
2023-02-14,6862.58,9440.00,0.00,0.00,0.00,0.00,0.00
2023-02-15,3682.02,4994.00,0.00,0.00,0.00,0.00,0.00
2023-02-16,3767.67,5599.97,0.00,0.00,0.00,0.00,0.00
2023-02-17,7783.71,11575.00,0.00,0.00,0.00,0.00,0.00
2023-02-18,8094.28,12302.00,0.00,0.00,0.00,0.00,0.00
2023-02-19,8272.70,12197.00,0.00,0.00,0.00,0.00,0.00
2023-02-20,5725.03,7578.00,0.00,0.00,0.00,0.00,0.00
2023-02-21,6945.52,9681.00,0.00,0.00,0.00,0.00,0.00
2023-02-22,158.27,222.00,0.00,0.00,0.00,0.00,0.00
2023-02-23,14222.91,20914.00,0.00,0.00,0.00,0.00,0.00
2023-02-24,8552.10,12425.00,0.00,0.00,0.00,0.00,0.00
2023-02-25,7901.58,11727.00,0.00,0.00,0.00,0.00,0.00
2023-02-26,9074.34,12649.00,0.00,0.00,0.00,0.00,0.00
2023-02-27,5708.06,7292.00,0.00,0.00,0.00,0.00,0.00
2023-02-28,1928.11,2916.00,0.00,0.00,0.00,0.00,0.00
2023-03-01,4255.73,5865.00,0.00,0.00,0.00,0.00,0.00
2023-03-02,389.67,553.00,0.00,0.00,0.00,0.00,0.00
2023-03-03,6637.13,10147.00,0.00,0.00,0.00,0.00,0.00
2023-03-04,5257.65,8629.00,0.00,0.00,0.00,0.00,0.00
2023-03-05,4953.51,7761.00,0.00,0.00,0.00,0.00,0.00
2023-03-06,6135.15,8216.00,0.00,0.00,0.00,0.00,0.00
2023-03-07,8453.89,10513.00,0.00,0.00,0.00,0.00,0.00
2023-03-08,5396.54,7000.00,0.00,0.00,0.00,0.00,0.00
2023-03-09,8778.98,11503.32,0.00,0.00,0.00,0.00,0.00
